state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
arunachal pradesh,changlang,changlang,changlang,Jairampur,Jairampur Station,27.20833,96.04166,2025,8,August,3.0,2025.0,Safe,0.3010752,0.2709675,0.0024762,0.91,334.0229797363281,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,changlang,changlang,changlang,Namchik,Namchik Station,27.41667,96.04583,2025,8,August,1.39,2025.0,Safe,0.3010752,0.2709675,0.0024762,0.91,334.0502319335937,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,changlang,khagam-miao,khagam-miao,Namphai,Namphai Station,27.45833,96.10833,2025,8,August,1.56,2025.0,Safe,0.3010752,0.2709675,0.0024762,0.91,334.0502319335937,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,changlang,khagam-miao,khagam-miao,Newlisan Kharsang,Newlisan Kharsang Station,27.5,96.13333,2025,8,August,3.92,2025.0,Safe,0.3010752,0.2709675,0.0024762,0.91,260.1230773925781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,east siang,pasighat,pasighat,Pasighat,Pasighat Station,28.15139,95.29583,2025,8,August,5.67,2025.0,Safe,0.8026644000000001,0.71985,0.0017902,0.25,515.3174438476562,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,east siang,pasighat,pasighat,Satmile,Satmile Station,27.97672,95.33163,2025,8,August,1.25,2025.0,Safe,0.8026644000000001,0.71985,0.0017902,0.25,437.1961059570313,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,east siang,ruksin,ruksin,Oyan,Oyan Station,27.89022,95.31833,2025,8,August,6.24,2025.0,Safe,0.8026644000000001,0.71985,0.0017902,0.25,437.1961059570313,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,east siang,ruksin,ruksin,Ruksin,Ruksin Station,27.83778,95.21817,2025,8,August,0.5,2025.0,Safe,0.8026644000000001,0.71985,0.0017902,0.25,131.05258178710938,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,east siang,ruksin,ruksin,Sika Baman Todee 1,Sika Baman Todee 1 Station,27.89778,95.32389,2025,8,August,1.86,2025.0,Safe,0.8026644000000001,0.71985,0.0017902,0.25,437.1961059570313,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
arunachal pradesh,kamle,tamen-raga,tamen-raga,Bomte,Bomte Station,27.4895,94.19442,2025,8,August,0.43,NULL,Safe,NULL,NULL,NULL,NULL,806.2515258789062,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
