state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
assam,bajali,bajali,bajali,Tihu,Tihu Station,26.475,91.2575,2025,8,August,1.45,NULL,Safe,NULL,NULL,NULL,NULL,193.06784057617188,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,bajali,bhabanipur,bhabanipur,Bhabanipur,Bhabanipur Station,26.45779,91.06548,2025,8,August,2.18,NULL,Safe,NULL,NULL,NULL,NULL,308.6200561523437,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,bajali,bhabanipur,bhabanipur,Dakshin Hati,Dakshin Hati Station,26.31835,91.01424,2025,8,August,3.41,NULL,Safe,NULL,NULL,NULL,NULL,281.9673767089844,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,bajali,bhabanipur,bhabanipur,Galia,Galia Station,26.49,90.6,2025,8,August,4.36,NULL,Safe,NULL,NULL,NULL,NULL,338.4991455078125,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,bajali,bhabanipur,bhabanipur,Sarupeta,Sarupeta Station,26.49861,91.075,2025,8,August,2.75,NULL,Safe,NULL,NULL,NULL,NULL,308.6200561523437,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,baksa,baksa,baksa,Lokpala,Lokpala Station,26.62028,91.39833,2025,8,August,1.8,2025.0,Safe,1.3996963,1.2455949,0.044813,3.6,207.59490966796875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,baksa,baksa,baksa,Uzanbari Village,Uzanbari Village Station,26.64972,91.04417,2025,8,August,0.92,2025.0,Safe,1.3996963,1.2455949,0.044813,3.6,250.33306884765625,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,baksa,barama,barama,Makharia,Makharia Station,26.33983,91.36639,2025,8,August,0.98,2025.0,Safe,1.3996963,1.2455949,0.044813,3.6,212.4845428466797,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,baksa,baska,baska,Aithabari,Aithabari Station,26.73472,91.35833,2025,8,August,7.43,2025.0,Safe,1.3996963,1.2455949,0.044813,3.6,241.2250213623047,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
assam,baksa,baska,baska,Arnibil,Arnibil Station,26.7499,91.35662,2025,8,August,13.92,2025.0,Safe,1.3996963,1.2455949,0.044813,3.6,241.2250213623047,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,16,NULL,NULL,https://cgwb.gov.in
