state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
bihar,araria,araria,araria,Araria,Araria Station,26.1375,87.42917,2025,8,August,2.72,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,364.6587524414063,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,23,NULL,NULL,https://cgwb.gov.in
bihar,araria,bhargama,bhargama,Bhargama,Bhargama Station,26.0525,87.15028,2025,8,August,2.05,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,265.0378723144531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,23,NULL,NULL,https://cgwb.gov.in
bihar,araria,forbesganj,forbesganj,Bathnaha,Bathnaha Station,26.34945,87.23139,2025,8,August,3.21,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,297.7642517089844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,forbesganj,forbesganj,Hariapur,Hariapur Station,26.25597,87.23114,2025,8,August,1.96,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,297.7642517089844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,forbesganj,forbesganj,Matiari,Matiari Station,26.28889,87.25195,2025,8,August,2.55,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,297.7642517089844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,jokihat,jokihat,Jokihat,Jokihat Station,26.14583,87.65417,2025,8,August,1.92,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,560.6707153320312,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,kursakanta,kursakanta,Kurasakanta,Kurasakanta Station,26.36389,87.44444,2025,8,August,1.36,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,364.6587524414063,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,narpatganj,narpatganj,Narpatganj,Narpatganj Station,26.33444,87.1075,2025,8,August,1.88,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,281.31427001953125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,palasi,palasi,Palasi,Palasi Station,26.25194,87.56889,2025,8,August,2.27,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,364.6587524414063,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,raniganj,raniganj,Raniganj,Raniganj Station,26.08225,87.23631,2025,8,August,2.97,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,265.0378723144531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,araria,sikty,sikty,Sikti,Sikti Station,26.40417,87.54806,2025,8,August,2.67,2025.0,Safe,1.5453067,1.4118171,0.3022468,21.41,335.6927795410156,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,arwal,arwal,Arwal,Arwal Station,25.25417,84.67917,2025,8,August,4.07,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,272.2185363769531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,arwal,arwal,Dirpal Bigha,Dirpal Bigha Station,25.29417,84.70277,2025,8,August,1.3,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,272.2185363769531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,arwal,arwal,Madhubani,Madhubani Station,25.19028,84.60445,2025,8,August,2.65,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,200.3588714599609,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,kaler,kaler,Kaler,Kaler Station,25.11722,84.49973,2025,8,August,1.2,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,163.08822631835938,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,kapri,kapri,Bairbigha,Bairbigha Station,25.14833,84.70695,2025,8,August,4.7,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,272.2185363769531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
bihar,arwal,kapri,kapri,Imamganj,Imamganj Station,25.20833,84.76667,2025,8,August,4.0,2025.0,Safe,0.2112994,0.1907518999999999,0.1000515,52.45,272.2185363769531,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,24,NULL,NULL,https://cgwb.gov.in
