state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
delhi,central,civil lines,civil lines,Burari,Burari Station,28.73306,77.19722,2025,8,August,1.1,2025.0,Safe,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,central,civil lines,civil lines,Isbt(Kasm.Gate),Isbt(Kasm.Gate) Station,28.67222,77.23055,2025,8,August,0.81,2025.0,Safe,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,central,civil lines,civil lines,Jagatpur,Jagatpur Station,28.74,77.2225,2025,8,August,0.22,2025.0,Safe,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,central,civil lines,civil lines,Majnu Ka Tila,Majnu Ka Tila Station,28.69583,77.22778,2025,8,August,7.53,2025.0,Safe,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,central,civil lines,civil lines,Sonia Vihar Wtp,Sonia Vihar Wtp Station,28.7075,77.24861,2025,8,August,12.05,2025.0,Safe,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,central,kotwali,kotwali,Chandini Chowk,Chandini Chowk Station,28.65556,77.23583,2025,8,August,5.67,2025.0,Critical,0.0256699,0.0231029,0.0174705,75.62,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,mayur vihar,mayur vihar,Chilla Regulator,Chilla Regulator Station,28.58722,77.30139,2025,8,August,9.59,2025.0,Over-Exploited,0.0166832,0.0150149,0.0144779,96.42,314.7274475097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,mayur vihar,mayur vihar,Chillasaroda,Chillasaroda Station,28.60028,77.29861,2025,8,August,8.32,2025.0,Over-Exploited,0.0166832,0.0150149,0.0144779,96.42,314.7274475097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,mayur vihar,mayur vihar,Kondali,Kondali Station,28.61103,77.32282,2025,8,August,26.88,2025.0,Over-Exploited,0.0166832,0.0150149,0.0144779,96.42,314.7274475097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,mayur vihar,mayur vihar,Trilokpuri,Trilokpuri Station,28.60888,77.30475,2025,8,August,8.45,2025.0,Over-Exploited,0.0166832,0.0150149,0.0144779,96.42,314.7274475097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,preet vihar,preet vihar,Gazi Pur,Gazi Pur Station,28.64083,77.2875,2025,8,August,4.11,2025.0,Critical,0.0166832,0.0150149,0.0144779,96.42,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,preet vihar,preet vihar,Ghazipur Crossing,Ghazipur Crossing Station,28.62806,77.31805,2025,8,August,30.75,2025.0,Critical,0.0166832,0.0150149,0.0144779,96.42,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,east,preet vihar,preet vihar,Hasan Pur,Hasan Pur Station,28.64222,77.29166,2025,8,August,6.6,2025.0,Critical,0.0166832,0.0150149,0.0144779,96.42,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,nazul land,nazul land,nazul land,Lalita Park,Lalita Park Station,28.6325,77.27167,2025,8,August,5.78,2025.0,Safe,0.0057142,0.0051427999999999,0.0033792,65.71,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,nazul land,nazul land,nazul land,Ushmanpur,Ushmanpur Station,28.68472,77.24917,2025,8,August,5.13,2025.0,Safe,0.0057142,0.0051427999999999,0.0033792,65.71,142.65797424316406,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,new delhi,chanakyapuri,chanakyapuri,Agrasen Ki Baoli,Agrasen Ki Baoli Station,28.62628,77.22504,2025,8,August,14.4,2025.0,Critical,0.0302898,0.0272607,0.0335965,123.24,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,new delhi,chanakyapuri,chanakyapuri,Birla Mandir,Birla Mandir Station,28.63194,77.19861,2025,8,August,0.72,2025.0,Critical,0.0302898,0.0272607,0.0335965,123.24,142.65797424316406,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
delhi,new delhi,chanakyapuri,chanakyapuri,Lodhi Garden,Lodhi Garden Station,28.59028,77.21639,2025,8,August,3.83,2025.0,Critical,0.0302898,0.0272607,0.0335965,123.24,314.7274475097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,60,NULL,NULL,https://cgwb.gov.in
