state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
goa,north goa,bardez,bardez,Alto Betim Porvorim,Alto Betim Porvorim Station,15.52605,73.82983,2025,8,August,1.96,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Amberem,Amberem Station,15.739,73.82449,2025,8,August,5.4,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Anjuna (Ct),Anjuna (Ct) Station,15.5842,73.73828,2025,8,August,5.98,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Britona,Britona Station,15.524,73.84194,2025,8,August,2.2,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Calangute (Ct),Calangute (Ct) Station,15.54612,73.75861,2025,8,August,2.62,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Colvale (Ct),Colvale (Ct) Station,15.64402,73.83727,2025,8,August,9.4,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Mapuca,Mapuca Station,15.61013,73.82434,2025,8,August,1.38,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Olaulim,Olaulim Station,15.56958,73.86346,2025,8,August,3.39,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Parra,Parra Station,15.57282,73.79279,2025,8,August,0.69,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Pirna,Pirna Station,15.66884,73.8818,2025,8,August,1.6,NULL,Safe,NULL,NULL,NULL,NULL,705.94384765625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Pomburpa,Pomburpa Station,15.55926,73.86761,2025,8,August,2.7,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Salvador-Do-Mundo (Ct),Salvador-Do-Mundo (Ct) Station,15.5376,73.86869,2025,8,August,2.67,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Shivoli Brahmanwada,Shivoli Brahmanwada Station,15.62358,73.76681,2025,8,August,0.41,NULL,Safe,NULL,NULL,NULL,NULL,739.4481811523438,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bardez,bardez,Sircaim,Sircaim Station,15.62689,73.87588,2025,8,August,1.8,NULL,Safe,NULL,NULL,NULL,NULL,705.94384765625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bicholim,bicholim,Adwalpale,Adwalpale Station,15.63986,73.89603,2025,8,August,3.52,NULL,Safe,NULL,NULL,NULL,NULL,705.94384765625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bicholim,bicholim,Devulawada Narve,Devulawada Narve Station,15.55205,73.92413,2025,8,August,12.72,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bicholim,bicholim,Jambhul Batt,Jambhul Batt Station,15.58041,73.92604,2025,8,August,0.97,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bicholim,bicholim,Mulgao,Mulgao Station,15.61711,73.92075,2025,8,August,1.69,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,bicholim,bicholim,Salem,Salem Station,15.68771,73.92681,2025,8,August,1.66,NULL,Safe,NULL,NULL,NULL,NULL,705.94384765625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Haspur,Haspur Station,15.73698,73.90359,2025,8,August,1.38,NULL,Safe,NULL,NULL,NULL,NULL,705.94384765625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Morji,Morji Station,15.63598,73.73963,2025,8,August,0.49,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Nagjhar,Nagjhar Station,15.70843,73.85289,2025,8,August,6.38,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Pernem,Pernem Station,15.7176,73.79807,2025,8,August,4.25,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Sawanthawada,Sawanthawada Station,15.68082,73.75108,2025,8,August,0.68,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,pernem,pernem,Uguem (Ugawe),Uguem (Ugawe) Station,15.75464,73.83533,2025,8,August,1.81,NULL,Safe,NULL,NULL,NULL,NULL,913.25537109375,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Bayalwadikeri,Bayalwadikeri Station,15.61128,74.067,2025,8,August,0.73,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Buimpal,Buimpal Station,15.53936,74.08822,2025,8,August,0.57,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Charayode,Charayode Station,15.62783,74.13084,2025,8,August,1.13,NULL,Safe,NULL,NULL,NULL,NULL,366.5202026367188,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Dhatwado Vante,Dhatwado Vante Station,15.49613,74.09753,2025,8,August,1.69,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Honda,Honda Station,15.54722,74.05079,2025,8,August,1.5,NULL,Safe,NULL,NULL,NULL,NULL,1003.8038330078124,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Khadki(Harijanwada),Khadki(Harijanwada) Station,15.50253,74.13964,2025,8,August,3.53,NULL,Safe,NULL,NULL,NULL,NULL,1230.714111328125,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
goa,north goa,satari,satari,Khotodem,Khotodem Station,15.48277,74.13696,2025,8,August,3.49,NULL,Safe,NULL,NULL,NULL,NULL,1230.714111328125,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,62,NULL,NULL,https://cgwb.gov.in
