state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
himachal pradesh,bilaspur,bilaspur sadar,bilaspur sadar,Jukhala Gasot,Jukhala Gasot Station,31.305,76.809,2025,8,August,5.06,NULL,Safe,NULL,NULL,NULL,NULL,454.123046875,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,bilaspur sadar,bilaspur sadar,Nouni,Nouni Station,31.3095,76.76318,2025,8,August,64.83,NULL,Safe,NULL,NULL,NULL,NULL,454.123046875,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,bilaspur sadar,bilaspur sadar,Panjgain,Panjgain Station,31.38867,76.83425,2025,8,August,1.91,NULL,Safe,NULL,NULL,NULL,NULL,625.23291015625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,ghumarwin,ghumarwin,Harkukar,Harkukar Station,31.43953,76.71839,2025,8,August,1.68,NULL,Safe,NULL,NULL,NULL,NULL,625.23291015625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,ghumarwin,ghumarwin,Luharwin,Luharwin Station,31.42528,76.71584,2025,8,August,0.01,NULL,Safe,NULL,NULL,NULL,NULL,625.23291015625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,ghumarwin,ghumarwin,Naswal,Naswal Station,31.46917,76.68611,2025,8,August,0.74,NULL,Safe,NULL,NULL,NULL,NULL,625.23291015625,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,87,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,jhandutta,jhandutta,Jhabola,Jhabola Station,31.42444,76.54639,2025,8,August,2.66,NULL,Safe,NULL,NULL,NULL,NULL,723.1022338867188,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,jhandutta,jhandutta,Shahtalai,Shahtalai Station,31.45555,76.51583,2025,8,August,2.98,NULL,Safe,NULL,NULL,NULL,NULL,723.1022338867188,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,shree naina devi,shree naina devi,Bassi,Bassi Station,31.311,76.505,2025,8,August,6.93,NULL,Safe,NULL,NULL,NULL,NULL,666.7677001953125,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
himachal pradesh,bilaspur,shree naina devi,shree naina devi,Toba Jindiyan,Toba Jindiyan Station,31.27,76.535,2025,8,August,5.06,NULL,Safe,NULL,NULL,NULL,NULL,666.7677001953125,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
himachal pradesh,chamba,sinhuta,sinhuta,Tundi Chhuala,Tundi Chhuala Station,32.34004,76.04491,2025,8,August,14.3,NULL,Safe,NULL,NULL,NULL,NULL,728.6616821289062,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
himachal pradesh,hamirpur,bamsan,bamsan,Barsar Maire,Barsar Maire Station,31.52278,76.46472,2025,8,August,16.62,NULL,Safe,NULL,NULL,NULL,NULL,723.1022338867188,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,88,NULL,NULL,https://cgwb.gov.in
