state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
jharkhand,bokaro,bermo,bermo,Dhori 5 No/Dhora,Dhori 5 No/Dhora Station,23.76336,86.00111,2025,8,August,1.7,2025.0,Over-Exploited,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chandankiyari,chandankiyari,Chandankiyari,Chandankiyari Station,23.575,86.35694,2025,8,August,0.75,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,235.37628173828125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chandankiyari,chandankiyari,Nutandih,Nutandih Station,23.5256,86.3287,2025,8,August,0.7,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,235.37628173828125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chandrapura,chandrapura,Chandrapura,Chandrapura Station,23.75028,86.13361,2025,8,August,1.2,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,118.5578155517578,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chas,chas,Bansa,Bansa Station,23.67389,86.26694,2025,8,August,0.92,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,118.5578155517578,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chas,chas,Bokaro,Bokaro Station,23.6588,86.0835,2025,8,August,1.19,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chas,chas,Chas,Chas Station,23.63333,86.01667,2025,8,August,8.3,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chas,chas,Pindarjora,Pindarjora Station,23.54583,86.175,2025,8,August,0.88,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,235.37628173828125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,chas,chas,Radhagaon,Radhagaon Station,23.5967,86.0888,2025,8,August,0.8,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,238.05792236328125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,gomia,gomia,Dakasalam,Dakasalam Station,23.77667,85.65334,2025,8,August,3.43,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,287.9940795898437,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,gomia,gomia,Gomia,Gomia Station,23.78333,85.83334,2025,8,August,0.58,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,287.9940795898437,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,gomia,gomia,Jhumar Pahar,Jhumar Pahar Station,23.85389,85.65611,2025,8,August,3.37,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,287.9940795898437,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,gomia,gomia,Lalpania,Lalpania Station,23.74028,85.74361,2025,8,August,3.97,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,287.9940795898437,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,jaridih,jaridih,Banchas,Banchas Station,23.5977,86.30447,2025,8,August,2.2,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,235.37628173828125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,jaridih,jaridih,Jaina More,Jaina More Station,23.7125,86.0875,2025,8,August,4.65,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,kasmar,kasmar,Harmu,Harmu Station,23.62461,85.93654,2025,8,August,0.95,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,238.05792236328125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,nawadih,nawadih,Barai,Barai Station,23.8425,85.95944,2025,8,August,1.13,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,nawadih,nawadih,Nawadih,Nawadih Station,23.85,86.03333,2025,8,August,2.25,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,peterwar,peterwar,Peterwar,Peterwar Station,23.68056,85.84167,2025,8,August,2.8,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,287.9940795898437,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
jharkhand,bokaro,peterwar,peterwar,Tenughat,Tenughat Station,23.75,85.96667,2025,8,August,1.03,2025.0,Safe,0.2054557,0.185847,0.0919074,49.45,366.16107177734375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,97,NULL,NULL,https://cgwb.gov.in
