state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
manipur,kangpokpi,kangpokpi,kangpokpi,9Th Mr,9Th Mr Station,25.23956,94.00851,2025,8,August,3.84,NULL,Safe,NULL,NULL,NULL,NULL,287.2504272460937,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
manipur,kangpokpi,saikul,saikul,V.Changoubung,V.Changoubung Station,25.18718,93.98057,2025,8,August,1.44,NULL,Safe,NULL,NULL,NULL,NULL,287.2504272460937,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
manipur,senapati,tadubi,tadubi,Kathikho,Kathikho Station,25.30753,94.04266,2025,8,August,2.81,NULL,Safe,NULL,NULL,NULL,NULL,287.2504272460937,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
manipur,senapati,tadubi,tadubi,Rikhumai Taphou,Rikhumai Taphou Station,25.26353,94.01672,2025,8,August,2.14,NULL,Safe,NULL,NULL,NULL,NULL,287.2504272460937,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
manipur,kangpokpi,kangpokpi,kangpokpi,9Th Mr,9Th Mr Station,25.23956,94.0085,2024,8,August,1.3,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,582,NULL,NULL,https://cgwb.gov.in
manipur,kangpokpi,saikul,saikul,V.Changoubung,V.Changoubung Station,25.18718,93.98057,2024,8,August,2.0,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,582,NULL,NULL,https://cgwb.gov.in
manipur,senapati,tadubi,tadubi,Kathikho,Kathikho Station,25.30753,94.04266,2024,8,August,2.2,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,582,NULL,NULL,https://cgwb.gov.in
manipur,senapati,tadubi,tadubi,Rikhumai Taphou,Rikhumai Taphou Station,25.26353,94.01671,2024,8,August,1.6,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,582,NULL,NULL,https://cgwb.gov.in
manipur,jiribam,jiribam c d,jiribam c d,Jiribam,Jiribam Station,24.8,93.11667,2011,8,August,0.9,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,4896,NULL,NULL,https://cgwb.gov.in
manipur,jiribam,jiribam c d,jiribam c d,Jiribam,Jiribam Station,24.8,93.11667,2010,8,August,1.8,NULL,Safe,NULL,NULL,NULL,NULL,NULL,NULL,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,NULL,local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,NULL,5139,NULL,NULL,https://cgwb.gov.in
