state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
meghalaya,east garo hills,dambo rongjeng,dambo rongjeng,Darugiri New,Darugiri New Station,25.6147,90.76002,2025,8,August,2.3,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,693.102294921875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,dambo rongjeng,dambo rongjeng,Narringirri,Narringirri Station,25.61028,90.73972,2025,8,August,0.98,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,693.102294921875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,dambo rongjeng,dambo rongjeng,Rongjeng,Rongjeng Station,25.66667,90.80417,2025,8,August,0.77,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,555.3109130859375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,dambo rongjeng,dambo rongjeng,Rongmil,Rongmil Station,25.73611,90.82445,2025,8,August,1.15,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,555.3109130859375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,samanda,samanda,Baiza Rongreng,Baiza Rongreng Station,25.5425,90.585,2025,8,August,0.68,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,587.4005737304688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,samanda,samanda,Dawa Gittinggre,Dawa Gittinggre Station,25.51076,90.63908,2025,8,August,1.72,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,693.102294921875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,samanda,samanda,Dobetkolgiri,Dobetkolgiri Station,25.50917,90.61166,2025,8,August,1.47,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,587.4005737304688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,samanda,samanda,Samanda Megapagre,Samanda Megapagre Station,25.58004,90.52681,2025,8,August,2.6,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,587.4005737304688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,samanda,samanda,Williamnagar,Williamnagar Station,25.51,90.51945,2025,8,August,0.38,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,587.4005737304688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,songsak,songsak,Dobu,Dobu Station,25.55612,90.71481,2025,8,August,1.58,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,693.102294921875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
meghalaya,east garo hills,songsak,songsak,Songsak New,Songsak New Station,25.65135,90.61052,2025,8,August,2.33,2025.0,Safe,0.0849275,0.0764346,0.003461,4.53,536.60595703125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,230,NULL,NULL,https://cgwb.gov.in
