state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
nagaland,dimapur,chumukedima,chumukedima,3 Mile Bazar,3 Mile Bazar Station,25.88056,93.76222,2025,8,August,1.5,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,7Th Mile Colony,7Th Mile Colony Station,25.84389,93.77417,2025,8,August,2.74,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,Bade Bazar,Bade Bazar Station,25.82583,93.68528,2025,8,August,5.24,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,Chumkidima,Chumkidima Station,25.8,93.79583,2025,8,August,1.92,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,Diphupar,Diphupar Station,25.86444,93.77333,2025,8,August,0.4,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,Kacharigaon,Kacharigaon Station,25.89156,93.69056,2025,8,August,8.34,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,chumukedima,chumukedima,Thilaxu Block,Thilaxu Block Station,25.87722,93.7375,2025,8,August,11.1,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,dhansiripar,dhansiripar,Doyabur,Doyabur Station,25.76111,93.60056,2025,8,August,2.73,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,225.1586456298828,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,dhansiripar,dhansiripar,Maibiram,Maibiram Station,25.78278,93.62361,2025,8,August,6.52,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,225.1586456298828,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,dhansiripar,dhansiripar,Singrijan,Singrijan Station,25.83333,93.71667,2025,8,August,2.3,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,kuhuboto,kuhuboto,Old Showuba,Old Showuba Station,25.85869,93.81163,2025,8,August,0.13,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,kuhuboto,kuhuboto,Vihokhu,Vihokhu Station,25.87028,93.86389,2025,8,August,0.36,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,420.2000427246094,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,medziphema,medziphema,Marwari Colony,Marwari Colony Station,25.90278,93.72916,2025,8,August,2.97,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,medziphema,medziphema,Rilayan Colony,Rilayan Colony Station,25.90278,93.68444,2025,8,August,1.91,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,medziphema,medziphema,Zakesatho Colony,Zakesatho Colony Station,25.91833,93.72889,2025,8,August,8.42,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,327.3021240234375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Dc Office,Dc Office Station,25.93171,93.96775,2025,8,August,6.0,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Hozukhe,Hozukhe Station,25.90275,93.95417,2025,8,August,2.17,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Medical Colony,Medical Colony Station,25.94035,93.95996,2025,8,August,7.21,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Nihokhu,Nihokhu Station,25.88619,93.90513,2025,8,August,1.71,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Nikhekhu,Nikhekhu Station,25.89327,93.93265,2025,8,August,6.79,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,dimapur,niuland,niuland,Niuland Town,Niuland Town Station,25.92056,93.96555,2025,8,August,1.89,2025.0,Safe,0.2273547,0.2099807,0.0140930999999999,6.71,447.4697570800781,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,botsa,botsa,Botsa,Botsa Station,25.85201,94.15716,2025,8,August,0.21,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,457.2447204589844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,Chiechama,Chiechama Station,25.81221,94.14026,2025,8,August,0.81,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,457.2447204589844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,Chiephobozou,Chiephobozou Station,25.80534,94.13716,2025,8,August,2.09,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,457.2447204589844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,Meriema,Meriema Station,25.72016,94.08607,2025,8,August,0.9,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,New Market,New Market Station,25.66934,94.09969,2025,8,August,3.74,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,New Secretariat,New Secretariat Station,25.70939,94.10149,2025,8,August,1.06,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,chiephobozou,chiephobozou,Thezema,Thezema Station,25.74228,94.10956,2025,8,August,0.98,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,jakhama,jakhama,Kezo Town,Kezo Town Station,25.64508,94.20567,2025,8,August,1.71,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,457.2447204589844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,jakhama,jakhama,Phesama,Phesama Station,25.62729,94.11324,2025,8,August,1.18,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,jakhama,jakhama,Upper Ag Colony,Upper Ag Colony Station,25.65406,94.10317,2025,8,August,3.75,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,kohima,kohima,Jail Colony,Jail Colony Station,25.65728,94.0976,2025,8,August,0.01,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,kohima,kohima,Keyake Bsf Camp,Keyake Bsf Camp Station,25.68138,94.12573,2025,8,August,1.05,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,457.2447204589844,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,kohima,kohima,Kohima Village,Kohima Village Station,25.6772,94.11492,2025,8,August,2.04,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,kohima,kohima,Krouliezie,Krouliezie Station,25.68554,94.11253,2025,8,August,4.04,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,kohima,sechu zubza,sechu zubza,Jotsoma,Jotsoma Station,25.66997,94.07033,2025,8,August,0.23,2025.0,Safe,0.0308144,0.027733,0.0021616,7.79,419.20111083984375,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,mokokchung,mangkolemba,mangkolemba,Kumpani Ward 1,Kumpani Ward 1 Station,26.49831,94.43034,2025,8,August,3.06,2025.0,Safe,0.0624481,0.056203,0.0009540999999999,1.7,312.19171142578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
nagaland,mokokchung,mangkolemba,mangkolemba,Kumpani Ward 2,Kumpani Ward 2 Station,26.49948,94.42928,2025,8,August,3.23,2025.0,Safe,0.0624481,0.056203,0.0009540999999999,1.7,312.19171142578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,232,NULL,NULL,https://cgwb.gov.in
