state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
puducherry,karaikal,karaikal,karaikal,Karaikal,Karaikal Station,10.93222,79.83139,2025,8,August,2.68,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,132.51461791992188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,karaikal,karaikal,karaikal,Kilakasakudi,Kilakasakudi Station,10.93333,79.84167,2025,8,August,1.85,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,132.51461791992188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,karaikal,karaikal,karaikal,Kottucherry,Kottucherry Station,10.95833,79.81667,2025,8,August,1.4,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,132.51461791992188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,karaikal,karaikal,karaikal,Thirunallar,Thirunallar Station,10.92898,79.79662,2025,8,August,2.35,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,132.51461791992188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,pondicherry,ariankuppam,ariankuppam,Pondicherry,Pondicherry Station,11.91194,79.82333,2025,8,August,3.24,NULL,Safe,NULL,NULL,NULL,NULL,118.28388214111328,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,pondicherry,ariankuppam,ariankuppam,Reddichavadi,Reddichavadi Station,11.88333,79.76667,2025,8,August,3.46,NULL,Safe,NULL,NULL,NULL,NULL,118.28388214111328,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,pondicherry,villianur,villianur,M.N.Kuppam,M.N.Kuppam Station,11.9,79.81667,2025,8,August,6.04,NULL,Safe,NULL,NULL,NULL,NULL,118.28388214111328,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,pondicherry,villianur,villianur,Villianur,Villianur Station,11.91667,79.75833,2025,8,August,4.07,NULL,Safe,NULL,NULL,NULL,NULL,118.28388214111328,monthly,unmatched,0.0,valid,August_WL_1994-2025.pdf,NULL,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,official_web_fallback,official_web_fallback,pdf_text,NULL,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
puducherry,karaikal,karaikal,karaikal,Karaikal,Karaikal Station,10.93222,79.83139,2024,8,August,3.7,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,NULL,NULL,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,NULL,local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,NULL,613,NULL,NULL,https://cgwb.gov.in
puducherry,karaikal,karaikal,karaikal,Kilakasakudi,Kilakasakudi Station,10.93333,79.84167,2024,8,August,2.3,2025.0,Safe,0.0442401,0.039816,0.0149324,37.5,NULL,NULL,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,NULL,local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,NULL,613,NULL,NULL,https://cgwb.gov.in
