state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
punjab,amritsar,ajnala,ajnala,Amritsar,Amritsar Station,31.63575,74.87863,2025,8,August,27.33,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,282.2218933105469,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,ajnala,ajnala,Ramdas,Ramdas Station,31.96718,74.91062,2025,8,August,7.92,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,505.9618225097656,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,attari,attari,Fatehgarhchuria,Fatehgarhchuria Station,31.82775,74.94259,2025,8,August,11.92,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,282.2218933105469,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,chogawan,chogawan,Barar,Barar Station,31.66848,74.68038,2025,8,August,17.0,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,298.0648498535156,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,chogawan,chogawan,Bhindi Saidan - S,Bhindi Saidan - S Station,31.81077,74.64111,2025,8,August,15.97,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,298.0648498535156,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,chogawan,chogawan,Lopoke,Lopoke Station,31.72009,74.62555,2025,8,August,11.66,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,298.0648498535156,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,chogawan,chogawan,Venike,Venike Station,31.66129,74.63702,2025,8,August,13.03,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,298.0648498535156,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,harsha chhina,harsha chhina,Kotla Doom,Kotla Doom Station,31.68242,74.74006,2025,8,August,16.56,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,298.0648498535156,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,rayya,rayya,Beas,Beas Station,31.51528,75.29656,2025,8,August,14.36,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,355.07867431640625,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
punjab,amritsar,tarsikka,tarsikka,Nawan-tandel,Nawan-tandel Station,31.67005,75.17245,2025,8,August,12.62,2025.0,Over-Exploited,1.390046,1.2471165,1.9994398,160.33,430.4969177246094,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,260,NULL,NULL,https://cgwb.gov.in
