state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
rajasthan,ajmer,ajmer rural,ajmer rural,Gwd Ajmer,Gwd Ajmer Station,26.5158,74.6705,2025,8,August,0.1,2025.0,Safe,0.3731212,0.3358091,0.4638972,138.14,113.55004119873048,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,264,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,ajmer rural,ajmer rural,Parbatpura,Parbatpura Station,26.3989,74.6633,2025,8,August,1.85,2025.0,Safe,0.3731212,0.3358091,0.4638972,138.14,113.55004119873048,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,arain,arain,Arian,Arian Station,26.45,75.0667,2025,8,August,0.53,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,147.1575469970703,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,arain,arain,Dasuk,Dasuk Station,26.3519,75.1,2025,8,August,1.65,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,178.3141632080078,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,arain,arain,Sandoliya,Sandoliya Station,26.397,75.0423,2025,8,August,0.5,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,147.1575469970703,monthly,exact,0.9,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,kishangarh,kishangarh,Bhilawat,Bhilawat Station,26.9349,74.8463,2025,8,August,17.8,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,207.03390502929688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,kishangarh,kishangarh,Jhag,Jhag Station,26.9588,74.9027,2025,8,August,1.2,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,174.93722534179688,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,kishangarh,kishangarh,Rari,Rari Station,26.5293,74.938,2025,8,August,2.4,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,147.1575469970703,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,kishangarh,kishangarh,Tiloniya,Tiloniya Station,26.6514,74.9361,2025,8,August,13.45,2025.0,Over-Exploited,0.3731212,0.3358091,0.4638972,138.14,215.69190979003903,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
rajasthan,ajmer,pisangan,pisangan,Amritpura (Govindgarh),Amritpura (Govindgarh) Station,26.4552,74.384,2025,8,August,12.0,2025.0,Safe,0.3731212,0.3358091,0.4638972,138.14,156.4711456298828,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,265,NULL,NULL,https://cgwb.gov.in
