state_name,district_name,block_name,mandal_name,village_name,location_name,latitude,longitude,observation_year,observation_month,observation_period,groundwater_depth_m,gwra_year,gwra_category,annual_groundwater_recharge_bcm,annual_extractable_groundwater_resource_bcm,annual_groundwater_extraction_bcm,stage_of_groundwater_extraction_percent,rainfall_mm,rainfall_period,geography_match_type,confidence_score,data_quality_status,data_source_groundwater,data_source_gwra,data_source_rainfall,groundwater_source_type,gwra_source_type,rainfall_source_type,groundwater_extraction_method,gwra_extraction_method,rainfall_extraction_method,groundwater_source_page,gwra_source_page,rainfall_source_page,source_url
west bengal,alipurduar,alipurduar-i,alipurduar-i,Alipurduar,Alipurduar Station,26.49722,89.52406,2025,8,August,3.51,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,alipurduar-ii,alipurduar-ii,Bhatibari,Bhatibari Station,26.44417,89.625,2025,8,August,2.41,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,alipurduar-ii,alipurduar-ii,Chepani,Chepani Station,26.49333,89.67805,2025,8,August,3.02,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,623.2244873046875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,alipurduar-ii,alipurduar-ii,Salsalabari,Salsalabari Station,26.48764,89.59029,2025,8,August,3.32,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,alipurduar-ii,alipurduar-ii,Uttar Panialguri,Uttar Panialguri Station,26.55247,89.57936,2025,8,August,2.74,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,falakata,falakata,Bengkandi,Bengkandi Station,26.63399,89.14578,2025,8,August,4.92,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,941.6082153320312,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,falakata,falakata,Falakata,Falakata Station,26.51474,89.19953,2025,8,August,3.8,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,902.3212280273438,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,falakata,falakata,Jateswar,Jateswar Station,26.61531,89.14734,2025,8,August,2.06,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,902.3212280273438,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kalchini,kalchini,Dabri,Dabri Station,26.68818,89.40527,2025,8,August,2.02,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,998.7692260742188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kalchini,kalchini,Hasimara,Hasimara Station,26.72475,89.34975,2025,8,August,4.22,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,941.6082153320312,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kalchini,kalchini,Jaigaon,Jaigaon Station,26.83947,89.38029,2025,8,August,13.91,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,998.7692260742188,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kalchini,kalchini,Millpara Pampu Basti,Millpara Pampu Basti Station,26.60951,89.52908,2025,8,August,2.81,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kalchini,kalchini,Raja Bhat Khawa,Raja Bhat Khawa Station,26.61464,89.53039,2025,8,August,3.21,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,813.14892578125,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kumargram,kumargram,Bara Daldali,Bara Daldali Station,26.5375,89.808,2025,8,August,3.54,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,623.2244873046875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kumargram,kumargram,Barovisa More,Barovisa More Station,26.4731,89.79895,2025,8,August,3.72,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,623.2244873046875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kumargram,kumargram,Ghoksapara,Ghoksapara Station,26.53445,89.82036,2025,8,August,2.38,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,623.2244873046875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
west bengal,alipurduar,kumargram,kumargram,Ghoramara,Ghoramara Station,26.54847,89.82097,2025,8,August,3.74,2025.0,Safe,1.2908449,1.1617602,0.1298117,11.17,623.2244873046875,monthly,normalized_exact,0.7,valid,August_WL_1994-2025.pdf,GWRA_2025.pdf,IMD Gridded Rainfall (0.25x0.25 deg),local_pdf,local_pdf,official_web_fallback,pdf_text,pdf_table,netcdf_spatial_lookup,340,NULL,NULL,https://cgwb.gov.in
